"2024-03-17","2025-03-17","US","Albuquerque Int Airport","Compact (Nissan Versa)","Incl. 26,071 miles","$ 43.95","$ 16,040.67",
"2024-03-17","2025-03-17","US","Albuquerque Int Airport","Midsize (Nissan Sentra)","Incl. 26,071 miles","$ 44.24","$ 16,146.06",
"2024-03-17","2025-03-17","US","Albuquerque Int Airport","Standard (Toyota Corolla)","Incl. 26,071 miles","$ 44.51","$ 16,247.83",
"2024-03-17","2025-03-17","US","Albuquerque Int Airport","Full-size (Toyota Camry)","Incl. 26,071 miles","$ 44.78","$ 16,343.60",
"2024-03-17","2025-03-17","US","Albuquerque Int Airport","Midsize (Toyota RAV4)","Incl. 26,071 miles","$ 46.63","$ 17,019.42",
"2024-03-17","2025-03-17","US","Albuquerque Int Airport","Premium (BMW 2 Series)","Incl. 26,071 miles","$ 47.22","$ 17,235.07",
"2024-03-17","2025-03-17","US","Albuquerque Int Airport","Luxury (BMW 3 Series)","Incl. 26,071 miles","$ 49.65","$ 18,121.66",
"2024-03-17","2025-03-17","US","Albuquerque Int Airport","Standard (Chevrolet Blazer)","Incl. 26,071 miles","$ 54.31","$ 19,824.38",
"2024-03-17","2025-03-17","US","Albuquerque Int Airport","Premium (BMW X1)","Incl. 26,071 miles","$ 55.33","$ 20,195.64",
"2024-03-17","2025-03-17","US","Albuquerque Int Airport","Standard Elite (GMC Acadia)","Incl. 26,071 miles","$ 56.93","$ 20,779.47",
"2024-03-17","2025-03-17","US","Albuquerque Int Airport","Luxury (BMW X3)","Incl. 26,071 miles","$ 57.23","$ 20,890.24",
"2024-03-17","2025-03-17","US","Albuquerque Int Airport","Minivan (Chrysler Pacifica)","Incl. 26,071 miles","$ 65.78","$ 24,010.84",
"2024-03-17","2025-03-17","US","Albuquerque Int Airport","Extraordinary (BMW X5)","Incl. 26,071 miles","$ 384.44","$ 140,320.56",
"2024-03-17","2025-03-17","US","Phoenix Int Airport","Compact (Nissan Versa)","Incl. 26,071 miles","$ 55.78","$ 20,360.75","$ 9.67/ day"
"2024-03-17","2025-03-17","US","Phoenix Int Airport","Midsize (Nissan Sentra)","Incl. 26,071 miles","$ 56.15","$ 20,493.77","$ 9.67/ day"
"2024-03-17","2025-03-17","US","Phoenix Int Airport","Standard (Toyota Corolla)","Incl. 26,071 miles","$ 56.50","$ 20,622.06","$ 9.67/ day"
"2024-03-17","2025-03-17","US","Phoenix Int Airport","Full-size (Toyota Camry)","Incl. 26,071 miles","$ 56.83","$ 20,743.05","$ 9.67/ day"
"2024-03-17","2025-03-17","US","Phoenix Int Airport","Standard (Chevrolet Camaro Coupe)","Incl. 26,071 miles","$ 56.87","$ 20,756.60","$ 9.67/ day"
"2024-03-17","2025-03-17","US","Phoenix Int Airport","Midsize (Toyota RAV4)","Incl. 26,071 miles","$ 59.16","$ 21,595.21","$ 9.67/ day"
"2024-03-17","2025-03-17","US","Phoenix Int Airport","Premium (BMW 2 Series)","Incl. 26,071 miles","$ 61.50","$ 22,446.51","$ 9.67/ day"
"2024-03-17","2025-03-17","US","Phoenix Int Airport","Compact (MINI Cooper Convertible)","Incl. 26,071 miles","$ 62.87","$ 22,946.64","$ 9.67/ day"
"2024-03-17","2025-03-17","US","Phoenix Int Airport","Luxury (BMW 3 Series)","Incl. 26,071 miles","$ 62.97","$ 22,985.22","$ 9.67/ day"
"2024-03-17","2025-03-17","US","Phoenix Int Airport","Standard (Chevrolet Blazer)","Incl. 26,071 miles","$ 68.86","$ 25,132.62","$ 9.67/ day"
